id,title,description,availability,condition,price,sale_price,link,image_link,additional_image_link,brand,google_product_category,product_type
"templo-aries","Templo de Aries","La Casa de Aries del Santuario de Athena, en réplica decorativa para tu colección de Saint Seiya (Caballeros del Zodiaco). Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","100.00 PEN","","https://boomart.pe/catalogo.html#templo-aries","https://boomart.pe/assets/products/templo-aries.jpg","https://boomart.pe/assets/products/templo-aries-pandora.jpg","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Templos del Zodiaco"
"templo-tauro","Templo de Tauro","La Casa de Tauro del Santuario de Athena, en réplica decorativa para tu colección de Saint Seiya (Caballeros del Zodiaco). Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","100.00 PEN","","https://boomart.pe/catalogo.html#templo-tauro","https://boomart.pe/assets/products/templo-tauro-1.jpg","https://boomart.pe/assets/products/templo-tauro-2.jpg,https://boomart.pe/assets/products/templo-tauro-pandora.jpg","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Templos del Zodiaco"
"templo-geminis","Templo de Géminis","La Casa de Géminis del Santuario de Athena, en réplica decorativa para tu colección de Saint Seiya (Caballeros del Zodiaco). Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","100.00 PEN","","https://boomart.pe/catalogo.html#templo-geminis","https://boomart.pe/assets/products/templo-geminis-1.jpg","https://boomart.pe/assets/products/templo-geminis-2.jpg,https://boomart.pe/assets/products/templo-geminis-pandora.jpg","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Templos del Zodiaco"
"templo-cancer","Templo de Cáncer","La Casa de Cáncer del Santuario de Athena, en réplica decorativa para tu colección de Saint Seiya (Caballeros del Zodiaco). Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","100.00 PEN","","https://boomart.pe/catalogo.html#templo-cancer","https://boomart.pe/assets/products/templo-cancer-1.jpg","https://boomart.pe/assets/products/templo-cancer-2.jpg,https://boomart.pe/assets/products/templo-cancer-pandora.jpg","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Templos del Zodiaco"
"templo-leo","Templo de Leo","La Casa de Leo del Santuario de Athena, en réplica decorativa para tu colección de Saint Seiya (Caballeros del Zodiaco). Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","100.00 PEN","","https://boomart.pe/catalogo.html#templo-leo","https://boomart.pe/assets/products/templo-leo.jpg","https://boomart.pe/assets/products/templo-leo-pandora.jpg","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Templos del Zodiaco"
"templo-virgo","Templo de Virgo","La Casa de Virgo del Santuario de Athena, en réplica decorativa para tu colección de Saint Seiya (Caballeros del Zodiaco). Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","100.00 PEN","","https://boomart.pe/catalogo.html#templo-virgo","https://boomart.pe/assets/products/templo-virgo-1.jpg","https://boomart.pe/assets/products/templo-virgo-2.jpg,https://boomart.pe/assets/products/templo-virgo-pandora.jpg","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Templos del Zodiaco"
"templo-libra","Templo de Libra","La Casa de Libra del Santuario de Athena, en réplica decorativa para tu colección de Saint Seiya (Caballeros del Zodiaco). Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","100.00 PEN","","https://boomart.pe/catalogo.html#templo-libra","https://boomart.pe/assets/products/templo-libra.jpg","https://boomart.pe/assets/products/templo-libra-pandora.jpg","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Templos del Zodiaco"
"templo-escorpio","Templo de Escorpio","La Casa de Escorpio del Santuario de Athena, en réplica decorativa para tu colección de Saint Seiya (Caballeros del Zodiaco). Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","100.00 PEN","","https://boomart.pe/catalogo.html#templo-escorpio","https://boomart.pe/assets/products/templo-escorpio.jpg","https://boomart.pe/assets/products/templo-escorpio-pandora.jpg","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Templos del Zodiaco"
"templo-sagitario","Templo de Sagitario","La Casa de Sagitario del Santuario de Athena, en réplica decorativa para tu colección de Saint Seiya (Caballeros del Zodiaco). Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","100.00 PEN","","https://boomart.pe/catalogo.html#templo-sagitario","https://boomart.pe/assets/products/templo-sagitario.jpg","https://boomart.pe/assets/products/templo-sagitario-pandora.jpg","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Templos del Zodiaco"
"templo-capricornio","Templo de Capricornio","La Casa de Capricornio del Santuario de Athena, en réplica decorativa para tu colección de Saint Seiya (Caballeros del Zodiaco). Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","100.00 PEN","","https://boomart.pe/catalogo.html#templo-capricornio","https://boomart.pe/assets/products/templo-capricornio.jpg","https://boomart.pe/assets/products/templo-capricornio-pandora.jpg","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Templos del Zodiaco"
"templo-acuario","Templo de Acuario","La Casa de Acuario del Santuario de Athena, en réplica decorativa para tu colección de Saint Seiya (Caballeros del Zodiaco). Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","100.00 PEN","","https://boomart.pe/catalogo.html#templo-acuario","https://boomart.pe/assets/products/templo-acuario.jpg","https://boomart.pe/assets/products/templo-acuario-pandora.jpg","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Templos del Zodiaco"
"templo-piscis","Templo de Piscis","La Casa de Piscis del Santuario de Athena, en réplica decorativa para tu colección de Saint Seiya (Caballeros del Zodiaco). Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","100.00 PEN","","https://boomart.pe/catalogo.html#templo-piscis","https://boomart.pe/assets/products/templo-piscis.jpg","https://boomart.pe/assets/products/templo-piscis-pandora.jpg","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Templos del Zodiaco"
"busto-de-atena-saint-seiya","Busto de Atena · 25 cm · Saint Seiya","El busto de Atena, diosa protectora del Santuario, es la pieza central que toda colección de Saint Seiya (Caballeros del Zodiaco) merece. Rostro sereno, casco con detalle y armadura trabajada, con espectacular acabado estilo piedra envejecida. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","130.00 PEN","100.00 PEN","https://boomart.pe/catalogo.html#busto-de-atena-saint-seiya","https://boomart.pe/assets/products/busto-de-atena-saint-seiya-1.jpg","https://boomart.pe/assets/products/busto-de-atena-saint-seiya-2.jpg,https://boomart.pe/assets/products/busto-de-atena-saint-seiya-3.jpg,https://boomart.pe/assets/products/busto-de-atena-saint-seiya-4.jpg,https://boomart.pe/assets/products/busto-de-atena-saint-seiya-5.jpg,https://boomart.pe/assets/products/busto-de-atena-saint-seiya-6.jpg","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Saint Seiya"
"templo-con-caja-de-pandora-y-pedestal","Colección Completa · 12 Templos + 12 Cajas de Pandora y Pedestales · Saint Seiya","La colección completa del Santuario de Athena: los 12 Templos de las Casas del Zodiaco (Aries a Piscis), cada uno con su Caja de Pandora dorada y su pedestal a juego. Acabado tipo piedra gris envejecida, detallado a mano. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","1560.00 PEN","1500.00 PEN","https://boomart.pe/catalogo.html#templo-con-caja-de-pandora-y-pedestal","https://boomart.pe/assets/products/templo-con-caja-de-pandora-y-pedestal.jpg","","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Saint Seiya"
"torre-del-reloj-saint-seiya","Torre del Reloj de Fuego · Saint Seiya","La icónica Torre del Reloj del Santuario de Athena, con sus doce llamas encendidas marcando la cuenta regresiva. Réplica decorativa de 32 cm de alto, acabado tipo piedra envejecida, impresa en 3D en PLA+/PETG y detallada a mano. Hecha a pedido en Lima. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","130.00 PEN","100.00 PEN","https://boomart.pe/catalogo.html#torre-del-reloj-saint-seiya","https://boomart.pe/assets/products/torre-del-reloj-saint-seiya-1.jpg","https://boomart.pe/assets/products/torre-del-reloj-saint-seiya-2.jpg","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Saint Seiya"
